 ,231225,
債,1238,中学校
寿,1237,中学校
託,1235,中学校
隆,1232,中学校
括,1229,中学校
鉛,1225,中学校
駐,1224,中学校
頻,1224,中学校
毒,1213,4年生
羅,1210,中学校
顔,1208,2年生
眼,1207,5年生
鈴,1206,中学校
徐,1203,中学校
栽,1203,中学校
迫,1202,中学校
旗,1198,4年生
訓,1197,4年生
吹,1192,中学校
漁,1187,4年生
恵,1184,中学校
牧,1184,4年生
遂,1183,中学校
透,1174,中学校
童,1174,3年生
銭,1172,5年生
埼,1171,
柄,1170,中学校
岳,1169,中学校
紛,1166,中学校
塗,1162,中学校
粉,1160,4年生
姓,1153,中学校
丹,1150,中学校
頂,1144,6年生
郵,1142,6年生
豪,1141,中学校
塁,1140,中学校
劣,1135,中学校
寛,1135,中学校
杉,1132,中学校
如,1131,中学校
繋,1131,
筋,1129,6年生
遷,1127,中学校
矢,1127,2年生
…,1126,
浄,1121,中学校
患,1121,中学校
飯,1120,4年生
滑,1118,中学校
夷,1109,
衰,1108,中学校
僚,1106,中学校
函,1106,
炎,1104,中学校
謀,1098,中学校
硫,1097,中学校
偽,1096,中学校
舗,1096,中学校
貢,1096,中学校
昼,1096,2年生
随,1094,中学校
袋,1089,中学校
智,1088,
拝,1087,6年生
偏,1086,中学校
署,1085,6年生
沈,1083,中学校
箇,1081,中学校
殖,1081,中学校
促,1078,中学校
柱,1077,3年生
冒,1075,中学校
幣,1072,中学校
灯,1071,4年生
綱,1062,中学校
募,1060,中学校
渋,1060,中学校
勧,1057,中学校
夢,1057,5年生
僧,1055,中学校
幌,1053,
寒,1052,3年生
戒,1045,中学校
潜,1045,中学校
洲,1043,
恋,1040,中学校
潮,1035,6年生
償,1034,中学校
刺,1033,中学校
祝,1032,4年生
桁,1031,
添,1030,中学校
鋼,1030,6年生
〈,1027,
〉,1027,
玄,1025,中学校
俳,1024,6年生
※,1023,
句,1019,5年生
剣,1017,中学校
弘,1017,
扉,1015,中学校
旋,1013,中学校
旨,1013,中学校
嫌,1007,中学校
珍,1006,中学校
塔,1000,中学校
鏡,992,4年生
獣,991,中学校
又,987,中学校
奴,981,中学校
譜,979,中学校
洗,978,6年生
才,976,2年生
℃,976,
徹,973,中学校
乾,971,中学校
鳴,969,2年生
誉,967,中学校
衣,963,4年生
畿,963,
弥,962,
膜,960,中学校
姫,960,中学校
鬼,958,中学校
墓,958,5年生
雇,956,中学校
秩,956,中学校
誰,956,
詰,955,中学校
趣,950,中学校
恒,950,中学校
葬,946,中学校
彩,945,中学校
暖,940,6年生
貧,939,5年生
貸,939,5年生
鍵,937,
罰,936,中学校
覆,933,中学校
磐,933,
裕,932,中学校
挿,928,中学校
亀,923,
笑,922,4年生
揚,917,中学校
鶴,917,
緒,915,中学校
怒,915,中学校
診,912,中学校
茂,910,中学校
緊,907,中学校
悲,899,3年生
膨,898,中学校
熟,896,6年生
抽,893,中学校
斜,892,中学校
騒,890,中学校
晴,887,2年生
鎮,886,中学校
旬,885,中学校
歯,885,3年生
欲,884,6年生
寝,883,中学校
伯,882,中学校
妹,882,2年生
浴,880,4年生
犬,879,1年生
贈,874,中学校
孝,874,6年生
蓄,868,中学校
撲,868,中学校
晩,868,6年生
輝,867,中学校
挑,864,中学校
迷,864,5年生
措,863,中学校
冊,862,6年生
那,856,
飼,853,5年生
 ,852,
痛,850,6年生
脂,844,中学校
湿,842,中学校
宋,842,
偶,839,中学校
杯,839,中学校
暮,836,6年生
捜,835,中学校
謝,835,5年生
薩,829,
顧,821,中学校
努,818,4年生
，,817,
堀,816,中学校
閏,816,
拳,814,
衡,813,中学校
泳,811,3年生
捉,810,
懸,808,中学校
菜,808,4年生
妙,807,中学校
卵,807,6年生
挟,806,中学校
汚,804,中学校
擁,802,中学校
掌,801,中学校
尺,801,6年生
荘,799,中学校
孔,797,中学校
紅,797,6年生
届,797,6年生
拓,792,中学校
勃,792,
淡,791,中学校
覇,790,中学校
紫,789,中学校
預,788,5年生
陵,787,中学校
遇,785,中学校
噴,779,中学校
狩,778,中学校
奨,776,中学校
稼,771,中学校
粋,770,中学校
逮,769,中学校
賢,769,中学校
澤,761,
偵,759,中学校
駿,758,
腕,755,中学校
鑑,755,中学校
煙,755,中学校
肥,752,5年生
姉,752,2年生
崇,751,中学校
盗,750,中学校
麗,741,中学校
柳,741,中学校
耳,741,1年生
塞,739,
捨,732,6年生
腹,732,6年生
浸,731,中学校
貞,731,中学校
狙,730,
腐,729,中学校
阻,728,中学校
朱,728,中学校
勇,719,4年生
誇,717,中学校
臓,717,6年生
眠,716,中学校
斉,710,中学校
泊,709,中学校
墳,707,中学校
棒,704,6年生
祥,702,中学校
枝,702,5年生
婦,702,5年生
李,700,
菱,699,
窒,697,中学校
隷,695,中学校
也,695,
輩,694,中学校
柏,693,
盾,692,中学校
穴,692,6年生
剰,691,中学校
后,691,6年生
殻,684,中学校
看,684,6年生
糖,680,6年生
磨,679,中学校
湘,675,
悩,670,中学校
尽,669,中学校
軟,668,中学校
旦,665,
嘉,663,
励,662,中学校
逸,658,中学校
耕,658,5年生
拍,657,中学校
盆,656,中学校
昧,656,
瞬,653,中学校
訟,653,中学校
傍,653,中学校
峰,652,中学校
垂,652,6年生
尼,651,中学校
糸,648,1年生
汎,648,
恩,645,5年生
阜,645,
峡,641,中学校
擬,640,中学校
侯,639,中学校
尚,639,中学校
辛,638,中学校
珠,638,中学校
訂,637,中学校
零,637,中学校
邸,635,中学校
涯,634,中学校
鋳,634,中学校
搬,630,中学校
虚,628,中学校
踊,626,中学校
勾,626,
彗,624,
曹,622,中学校
刀,621,2年生
肝,617,中学校
兆,617,4年生
雅,613,中学校
誠,613,6年生
